700 3
74 122 65
122 103 91
95 197 131
99 151 40
177 148 60
38 124 71
123 36 190
108 27 60
122 94 186
99 122 77
119 77 193
114 57 155
21 156 113
44 87 45
138 64 193
73 93 51
4 24 56
134 68 87
193 62 148
195 171 99
34 57 102
63 179 119
141 10 38
41 35 46
78 197 9
184 11 117
50 177 35
6 144 176
111 66 21
82 65 110
150 13 181
120 72 122
169 39 158
39 2 53
179 52 72
88 102 152
96 122 99
183 61 11
100 147 69
21 71 64
4 178 196
8 69 106
96 110 70
11 56 138
158 200 41
15 148 54
43 185 53
167 18 1
189 164 77
124 110 174
52 46 152
198 173 182
65 109 125
104 162 25
131 111 156
165 6 20
161 149 156
100 146 198
33 154 23
117 61 109
21 21 83
87 31 9
2 57 65
54 26 191
162 132 199
86 112 17
62 133 55
69 115 6
49 173 102
59 48 182
126 129 66
93 113 157
135 128 152
182 128 126
160 54 74
92 199 136
37 116 19
55 199 132
164 191 103
1 96 177
94 188 156
91 178 119
79 102 159
78 9 148
69 78 176
140 70 70
136 117 87
20 92 86
64 163 140
83 124 193
2 52 1
140 44 85
20 133 195
116 51 200
161 167 102
51 43 173
68 137 175
86 65 187
34 162 166
99 139 157
197 28 164
140 78 116
62 113 13
6 73 199
13 146 171
167 118 35
160 182 104
82 31 176
71 56 156
149 175 122
42 96 169
73 73 128
124 80 108
92 67 41
45 57 86
3 74 177
179 194 179
94 153 55
39 194 110
199 187 122
181 189 16
155 124 195
88 173 125
25 173 144
110 101 19
36 122 133
164 23 24
198 187 12
153 52 195
61 193 83
191 58 179
81 99 154
25 100 146
46 125 105
194 125 136
125 176 126
125 78 97
22 196 183
127 177 192
11 132 54
167 125 53
10 181 50
81 166 182
171 49 49
33 12 35
51 145 73
178 199 66
28 100 131
115 163 149
99 81 76
98 139 191
92 93 181
193 146 175
170 155 135
74 95 170
115 1 182
61 109 130
156 176 88
97 83 51
147 45 2
176 54 18
84 143 23
109 112 76
155 66 146
199 129 32
92 132 142
35 120 57
78 174 180
2 172 26
193 75 140
81 38 99
8 173 47
95 42 114
23 87 36
21 103 109
37 12 91
90 176 175
51 197 149
145 190 74
16 116 133
129 16 95
30 176 57
174 64 114
157 173 86
126 12 139
116 79 178
32 78 79
138 74 47
92 140 42
112 197 100
1 90 1
133 92 97
81 26 89
